DocNumber;ProductDesignation
0110000512018;ZIVANIA 5CL
0110000512018;MINERAL WATER 1.5LT
0110000522018;1/6 DUCK
0110000522018;SWEET SOUR CHICKEN
0110000522018;BEEF BBS
0110000522018;EGG FRIED RICE
0110000522018;MINERAL WATER 1.5LT
0110000532018;1/6 DUCK
0110000532018;SALMON SUSHI
0110000532018;VOLCANO MAKI
0110000532018;SPICY SALMON MAKI
0110000532018;MINERAL WATER 1.5LT
0110000542018;AGIOS OUNOFRIOS RED
0110000542018;MINERAL WATER 1.5LT
0110000542018;SPRING ROLL
0110000542018;TIN JIAN STYLE CHICKEN
0110000542018;SWEET SOUR CHICKEN
0110000542018;BEEF OYSTER SAUCE
0110000542018;EGG FRIED RICE
0110000552018;SPRING ROLL
0110000552018;MIXED PLATTER SUSHI
0110000552018;PRAWNS MIXED VEG
0110000552018;STEAMED RICE
0110000552018;BEEF OYSTER SAUCE
0110000552018;MINERAL WATER 1.5LT
0110000562018;SPRING ROLL
0110000562018;CHICKEN SATAY
0110000562018;FRIED SHREDDED BEEF
0110000562018;1/4 DUCK
0110000562018;SWEET SOUR PORK
0110000562018;BEEF WITH GINGER
0110000562018;CHICKEN CASHEW NUTS
0110000562018;BABY PORK
0110000562018;STEAMED RICE
0110000562018;SPECIAL MONTPARNASSE RICE
0110000562018;NOODLES WITH MEAT
0110000562018;MINERAL WATER 1.5LT
0110000562018;PETRITIS KYPEROUNDA
0110000562018;COKE ZERO
0110000562018;CHICK TIKKA MASALA
0110000562018;TOFFEE BANANA COMPLEMENTARY
0110000572018;SALT PEPPER SQUID
0110000572018;SESAME PRAWNS
0110000572018;LEMON CHICKEN
0110000572018;EGG FRIED RICE
0110000572018;NOODLES WITH MEAT
0110000572018; NO MEAT
0110000572018;CHICK KORMA KASHMIRI
0110000572018;MALAI MANGO CHICK
0110000572018;STEAMED RICE IND
0110000572018;NAAN
0110000572018;MINERAL WATER 1.5LT
0110000572018;MAKKAS ROSE
0110000572018;TOFFEE BANANA COMPLEMENTARY
0110000582018;SPRING ROLL
0110000582018;1/4 DUCK
0110000582018;SWEET SOUR PRAWNS
0110000582018;BEEF BBS
0110000582018;SWEET SOUR PORK
0110000582018;SPECIAL MONTPARNASSE RICE
0110000582018;CHICK KORMA KASHMIRI
0110000582018;GLASS WHITE WINE
0110000582018;AGIOS ELIAS 37.5CL RED
0110000582018;MINERAL WATER 1.5LT
0110000592018;SPRING ROLL
0110000592018;SESAME PRAWNS
0110000592018;SALT PEPPER SQUID
0110000592018;SWEET SOUR CHICKEN
0110000592018;CHICKEN CASHEW NUTS
0110000592018;BEEF BBS
0110000592018;NOODLES WITH MEAT
0110000592018;EGG FRIED RICE
0110000592018;MINERAL WATER 1.5LT
0110000602018;SPRING ROLL
0110000602018;1/2 DUCK
0110000602018;SWEET SOUR CHICKEN
0110000602018;BEEF BBS
0110000602018;BABY PORK
0110000602018;NOODLES WITH MEAT
0110000602018; NO MEAT
0110000602018;EGG FRIED RICE
0110000602018;MINERAL WATER 1.5LT
0110000602018;AYIOS ANDRONIKOS XYNISTERI
0110000602018;MINERAL WATER 1.5LT
0110000602018;TOFFEE BANANA COMPLEMENTARY
0110000612018;SWEETCORN SOUP
0110000612018; WITH CHICKEN
0110000612018;SWEETCORN SOUP
0110000612018; WITH SHRIMP
0110000612018;HOT AND SOUR SOUP
0110000612018;SPRING ROLL
0110000612018;CHICKEN SATAY
0110000612018;1/6 DUCK
0110000612018;CHICKEN CASHEW NUTS
0110000612018;FORTUNE PORK
0110000612018;SWEET SOUR PRAWNS
0110000612018;EGG FRIED RICE
0110000612018;COKE
0110000612018;MINERAL WATER 1.5LT
0110000612018;VASSILIKON XYNISTERI
0110000612018;COKE
0110000612018;COFFEE COMPLIMENTARY
0110000612018;TOFFEE BANANA COMPLEMENTARY
0120000062018;SPRING ROLL
0120000062018;NOODLES WITH MEAT
0120000062018;SWEET SOUR CHICKEN
0120000062018;STEAMED RICE
0120000062018;1/6 DUCK
0120000062018;CHICKEN VINDALOO
0120000062018;ORANGE JUICE
0120000062018;MINERAL WATER 1.5LT
0120000062018;IMPORTED BEER 33CL
0120000072018;FRIED SHREDDED BEEF
0120000072018;1/4 DUCK
0120000072018;BEEF PEPPER SAUCE
0120000072018;PORK WITH GINGER
0120000072018;EGG FRIED RICE
0120000072018;NOODLES WITH MEAT
0120000072018; NO MEAT
0120000072018;KYPEROUNDAS RED
0120000072018;MINERAL WATER 1.5LT
0120000082018;SPRING ROLL
0120000082018;WHOLE DUCK
0120000082018;SWEET SOUR CHICKEN
0120000082018;BEEF PEPPER SAUCE
0120000082018;BEEF BBS
0120000082018;SWEET SOUR PRAWNS
0120000082018;EGG FRIED RICE
0120000082018;NOODLES WITH MEAT
0120000082018;MINERAL WATER 1.5LT
0120000082018;PETRITIS KYPEROUNDA
0120000082018;ORANGE JUICE
0120000082018;APPLE JUICE
0120000082018;MINERAL WATER 1.5LT
0120000092018;CALIFORNIA MAKI
0120000092018;1/6 DUCK
0120000092018;SWEET SOUR CHICKEN
0120000092018;EGG FRIED RICE
0120000092018;MINERAL WATER 1.5LT
0110000622018;SPRING ROLL
0110000622018;1/4 DUCK
0110000622018;BEEF BBS
0110000622018;BABY PORK
0110000622018;STEAMED RICE
0110000622018;EGG FRIED RICE
0110000622018;MINERAL WATER 1.5LT
0110000622018;FRUIT JUICE 30CL
0110000622018;COKE ZERO
0110000622018;TOFFEE BANANA COMPLEMENTARY
0110000622018;TOFFEE APPLE COMPLEMENTARY
0110000632018;MINERAL WATER 1.5LT
0110000632018;SAMOSA
0110000632018;CHICKEN KALIMIRCH TIKKA
0110000632018;VOLCANO MAKI
0110000632018;CALIFORNIA MAKI
0110000632018;BABY PORK
0110000632018;SWEET SOUR CHICKEN
0110000632018;CHICK TIKKA MASALA
0110000632018;JIRA PULAO
0110000632018;CHINESE BEER 33CL
0110000632018;SODA
0110000642018;SPRING ROLL
0110000642018;1/4 DUCK
0110000642018;FRIED SHREDDED BEEF
0110000642018;SWEET SOUR CHICKEN
0110000642018;BEEF BBS
0110000642018;EGG FRIED RICE
0110000642018;CHICK KORMA KASHMIRI
0110000642018;CHICK TIKKA MASALA
0110000642018;MAKKAS ROSE
0110000642018;MINERAL WATER 1.5LT
0110000652018;SESAME PRAWNS
0110000652018;1/6 DUCK
0110000652018;SWEET SOUR CHICKEN
0110000652018;BEEF BBS
0110000652018;EGG FRIED RICE
0110000652018;MINERAL WATER 1.5LT
0110000652018;GLASS WHITE WINE
0110000662018;SPRING ROLL
0110000662018;SWEET SOUR CHICKEN
0110000662018;BABY PORK
0110000662018;BEEF WITH GINGER
0110000662018;EGG FRIED RICE
0110000662018;NOODLES WITH MEAT
0110000662018; NO MEAT
0110000662018;MINERAL WATER 1.5LT
0110000662018;GLASS WHITE WINE
0110000662018;GLASS WHITE WINE
0110000662018;SPRING ROLL
0110000662018;TOFFEE BANANA COMPLEMENTARY
0110000672018;TEMPURA MAKI
0110000672018;1/4 DUCK
0110000672018;CHICKEN CASHEW NUTS
0110000672018;SWEET SOUR CHICKEN
0110000672018;EGG FRIED RICE
0110000672018;VEG RICE
0110000672018;MINERAL WATER 1.5LT
0110000672018;MINERAL WATER 1.5LT
0110000682018;MINERAL WATER 1.5LT
0110000682018;DUO TANDOORI FLOWERS
0110000682018;1/6 DUCK
0110000682018;SWEET SOUR CHICKEN
0110000682018;BEEF BBS
0110000682018;EGG FRIED RICE
0110000682018;CHICK KORMA KASHMIRI
0110000692018;SALT PEPPER PRAWNS
0110000692018;SESAME PRAWNS
0110000692018;FRIED SHREDDED BEEF
0110000692018;1/4 DUCK
0110000692018;SPECIAL MONTPARNASSE RICE
0110000692018;SWEET SOUR CHICKEN
0110000692018;BEEF OYSTER SAUCE
0110000692018;CHICK TIKKA MASALA
0110000692018;COKE ZERO
0110000692018;MINERAL WATER 1.5LT
0110000692018;SAKE 12CL
0110000702018;SPRING ROLL
0110000702018;SAMOSA CHICKEN
0110000702018;TEMPURA MAKI
0110000702018;SWEET SOUR CHICKEN
0110000702018;EGG FRIED RICE
0110000702018;MINERAL WATER 1.5LT
0110000712018;SPRING ROLL
0110000712018;SWEET SOUR PRAWNS
0110000712018;MIX VEG OYSTER
0110000712018;BEEF BBS
0110000712018;VEG RICE
0110000712018;EGG FRIED RICE
0110000712018;MINERAL WATER 1.5LT
0110000712018;LEVANDA ROSE
0110000712018;BEEF BBS
0110000712018;TOFFEE BANANA COMPLEMENTARY
0110000722018;SPRING ROLL
0110000722018;SALT PEPPER PRAWNS
0110000722018;BEEF BBS
0110000722018;CHICKEN MIXED VEGETABLES
0110000722018; WITH CHICKEN
0110000722018;STEAMED RICE
0110000722018;COKE ZERO
0110000722018;MINERAL WATER 1.5LT
0110000722018;NOODLES WITH MEAT
0110000732018;SPRING ROLL
0110000732018;1/4 DUCK
0110000732018;SWEET SOUR CHICKEN
0110000732018;CHICKEN OYSTER SAUCE
0110000732018;NOODLES WITH MEAT
0110000732018;EGG FRIED RICE
0110000732018;STEAMED RICE
0110000732018;COKE ZERO
0110000732018;COKE
0110000732018;MINERAL WATER 1.5LT
0110000742018;SPRING ROLL
0110000742018;SALT PEPPER PRAWNS
0110000742018;1/4 DUCK
0110000742018;BEEF PEPPER SAUCE
0110000742018;BABY PORK
0110000742018;BEEF BBS
0110000742018;CHICKEN CASHEW NUTS
0110000742018;NOODLES WITH MEAT
0110000742018; NO MEAT
0110000742018;STEAMED RICE
0110000742018;MINERAL WATER 1.5LT
0110000742018;ANDESITIS RED
0110000752018;1/4 DUCK
0110000752018;SWEET SOUR CHICKEN
0110000752018;CHICKEN CASHEW NUTS
0110000752018;EGG FRIED RICE
0110000752018;MINERAL WATER 1.5LT
0110000752018;GLASS WHITE WINE
0110000762018;DRAGON MAKI
0110000762018;SPRING ROLL
0110000762018;BEEF BBS
0110000762018;SWEET SOUR CHICKEN
0110000762018;NOODLES WITH MEAT
0110000762018; NO MEAT
0110000762018;EGG FRIED RICE
0110000762018;MINERAL WATER 1.5LT
0110000762018;ROSE KYPEROUNDAS
0110000772018;KEO
0110000772018;GLASS RED WINE
0110000772018;WHISKY 5CL
0110000772018;J&B
0110000772018;MINERAL WATER 1.5LT
0110000772018;SODA
0110000772018;SPRING ROLL
0110000772018;SAMOSA
0110000772018;1/6 DUCK
0110000772018;STEAMED RICE
0110000772018;FRIED SHREDDED BEEF
0110000772018;ALOO PALAK
0110000772018;BEEF BBS
0110000772018;WHISKY 5CL
0110000772018;J&B
0110000772018;COKE ZERO
0110000772018;TOFFEE BANANA COMPLEMENTARY
0110000782018;SPRING ROLL
0110000782018;SESAME PRAWNS
0110000782018;CALIFORNIA MAKI
0110000782018;SWEET SOUR CHICKEN
0110000782018;CHICKEN MIXED VEGETABLES
0110000782018;NOODLES WITH MEAT
0110000782018; NO MEAT
0110000782018;CHICKEN CASHEW NUTS
0110000782018;MINERAL WATER 1.5LT
0110000782018;ANDESITIS RED
0110000782018;EGG FRIED RICE
0110000782018;TOFFEE BANANA COMPLEMENTARY
0110000792018;SPRING ROLL
0110000792018;PHILADELPHIA MAKI
0110000792018;SWEET SOUR PORK
0110000792018;BEEF PEPPER SAUCE
0110000792018;EGG FRIED RICE
0110000792018;GLASS WINE ROSE
0110000792018;MINERAL WATER 1.5LT
0110000792018;TOFFEE BANANA COMPLEMENTARY
0110000802018;SPRING ROLL
0110000802018;SALT PEPPER PRAWNS
0110000802018;SESAME PRAWNS
0110000802018;1/2 DUCK
0110000802018;NOODLES BEAN SPROUTS
0110000802018;CHICKEN CASHEW NUTS
0110000802018;LEMON CHICKEN
0110000802018;BEEF BBS
0110000802018;BABY PORK
0110000802018;EGG FRIED RICE
0110000802018;STEAMED RICE
0110000802018;MINERAL WATER 1.5LT
0110000802018;FANTA
0110000802018;PETRITIS KYPEROUNDA
0110000802018;MINERAL WATER 1.5LT
0110000802018;PERRIER
0110000802018;COKE ZERO
0110000812018;MALAGOUZIA BOUTARI
0110000812018;SPRING ROLL
0110000812018;SALT PEPPER SQUID
0110000812018;1/6 DUCK
0110000812018;DRAGON MAKI
0110000812018;CROUCHING TIGER
0110000812018;VOLCANO MAKI
0110000812018;BABY PORK
0110000812018;TANDOORI CHICK 1/2
0110000812018;PRAWNS BBS
0110000812018;MIX VEG OYSTER
0110000812018;STEAMED RICE
0110000812018;EGG FRIED RICE
0110000812018;MINERAL WATER 1.5LT
0110000812018;COKE ZERO
0110000812018;MINERAL WATER 1.5LT
0110000812018;COFFEE COMPLIMENTARY
0110000812018;TOFFEE BANANA COMPLEMENTARY
0110000822018;MINERAL WATER 1.5LT
0110000822018;BOUTARI MOSCHOFILERO WHITE
0110000822018;SPRING ROLL
0110000822018;1/6 DUCK
0110000822018;SWEET SOUR PORK
0110000822018;FRIED SHREDDED BEEF
0110000822018;CHICKEN OYSTER SAUCE
